year,month,day,fog,rain,snow,precipi,snowfalli,meantempi
2013,05,21,0,0,0,0.00,0.00,77
2013,05,22,0,0,0,0.00,0.00,69
2013,05,23,1,1,0,1.81,0.00,72
2013,05,24,0,1,0,0.30,0.00,55
2013,05,25,0,1,0,0.14,0.00,50
2013,05,26,0,0,0,0.00,0.00,57
2013,05,27,0,0,0,0.00,0.00,62
2013,05,28,1,1,0,0.52,0.00,62
2013,05,29,1,0,0,0.00,0.00,70
2013,05,30,0,0,0,0.00,0.00,81
2013,05,31,0,0,0,0.00,0.00,83
2013,06,01,0,0,0,0.00,0.00,82
2013,06,02,1,1,0,0.85,0.00,79
2013,06,03,1,1,0,0.87,0.00,72
2013,06,04,0,0,0,0.00,0.00,66
2013,06,05,0,0,0,0.00,0.00,66
2013,06,06,0,1,0,0.13,0.00,65
2013,06,07,1,1,0,4.16,0.00,61
2013,06,08,0,1,0,0.48,0.00,67
2013,06,09,0,0,0,0.00,0.00,72
2013,06,10,1,1,0,1.38,0.00,66
2013,06,11,0,1,0,0.09,0.00,72
2013,06,12,0,0,0,0.00,0.00,71
2013,06,13,1,1,0,1.26,0.00,62
2013,06,14,0,1,0,0.38,0.00,63
2013,06,15,0,0,0,0.00,0.00,71
2013,06,16,0,0,0,0.00,0.00,73
2013,06,17,0,1,0,0.01,0.00,77
2013,06,18,0,1,0,0.19,0.00,74
2013,06,19,0,1,0,0.01,0.00,68
2013,06,20,0,0,0,0.00,0.00,71
2013,06,21,0,0,0,0.00,0.00,73
2013,06,22,0,0,0,0.00,0.00,75
2013,06,23,0,0,0,0.00,0.00,79
2013,06,24,0,0,0,0.00,0.00,83
2013,06,25,0,0,0,T,0.00,82
2013,06,26,0,1,0,0.05,0.00,80
2013,06,27,0,1,0,0.24,0.00,80
2013,06,28,0,0,0,T,0.00,79
2013,06,29,0,0,0,0.00,0.00,77
2013,06,30,0,1,0,T,0.00,80
2013,07,01,1,1,0,0.84,0.00,75
2013,07,02,0,1,0,0.08,0.00,77
2013,07,03,1,1,0,0.53,0.00,78
2013,07,04,0,0,0,0.00,0.00,81
2013,07,05,0,0,0,0.00,0.00,83
2013,07,06,0,0,0,0.00,0.00,85
2013,07,07,0,0,0,0.00,0.00,85
2013,07,08,1,1,0,0.22,0.00,81
2013,07,09,0,1,0,0.23,0.00,81
2013,07,10,0,1,0,T,0.00,80
2013,07,11,0,0,0,T,0.00,80
2013,07,12,0,1,0,0.25,0.00,73
2013,07,13,0,1,0,0.06,0.00,74
2013,07,14,0,1,0,0.00,0.00,82
2013,07,15,0,0,0,0.00,0.00,86
2013,07,16,0,0,0,0.00,0.00,86
2013,07,17,0,0,0,0.00,0.00,88
2013,07,18,0,0,0,0.00,0.00,90
2013,07,19,0,0,0,0.00,0.00,90
2013,07,20,0,0,0,0.00,0.00,87
2013,07,21,0,0,0,0.00,0.00,83
2013,07,22,0,1,0,0.06,0.00,81
2013,07,23,0,1,0,0.31,0.00,80
2013,07,24,0,0,0,0.00,0.00,76
2013,07,25,0,1,0,0.01,0.00,66
2013,07,26,0,0,0,0.00,0.00,74
2013,07,27,0,0,0,0.00,0.00,76
2013,07,28,0,1,0,0.24,0.00,74
2013,07,29,0,1,0,0.01,0.00,77
2013,07,30,0,0,0,0.00,0.00,75
2013,07,31,0,0,0,0.00,0.00,75
2013,08,01,1,1,0,0.65,0.00,71
2013,08,02,0,0,0,0.00,0.00,75
2013,08,03,0,1,0,0.06,0.00,73
2013,08,04,0,0,0,0.00,0.00,73
2013,08,05,0,0,0,0.00,0.00,70
2013,08,06,0,0,0,0.00,0.00,73
2013,08,07,0,0,0,T,0.00,75
2013,08,08,1,1,0,0.46,0.00,76
2013,08,09,0,1,0,0.05,0.00,80
2013,08,10,0,0,0,0.00,0.00,77
2013,08,11,0,0,0,0.00,0.00,73
2013,08,12,0,1,0,0.05,0.00,76
2013,08,13,0,1,0,0.85,0.00,73
2013,08,14,0,0,0,0.00,0.00,68
2013,08,15,0,0,0,0.00,0.00,69
2013,08,16,0,0,0,0.00,0.00,73
2013,08,17,0,0,0,0.00,0.00,74
2013,08,18,0,0,0,T,0.00,72
2013,08,19,0,0,0,T,0.00,73
2013,08,20,0,0,0,0.00,0.00,78
2013,08,21,0,0,0,0.00,0.00,81
2013,08,22,0,1,0,0.25,0.00,75
2013,08,23,0,0,0,0.00,0.00,77
2013,08,24,0,0,0,0.00,0.00,73
2013,08,25,0,0,0,0.00,0.00,74
2013,08,26,0,1,0,0.04,0.00,76
2013,08,27,0,1,0,0.01,0.00,79
2013,08,28,1,1,0,0.43,0.00,79
2013,08,29,0,1,0,T,0.00,76
2013,08,30,0,0,0,0.00,0.00,78
2013,08,31,0,0,0,0.00,0.00,80
2013,09,01,0,0,0,0.00,0.00,80
2013,09,02,0,1,0,0.05,0.00,78
2013,09,03,0,1,0,0.03,0.00,75
2013,09,04,0,0,0,0.00,0.00,74
2013,09,05,0,0,0,0.00,0.00,72
2013,09,06,0,0,0,0.00,0.00,65
2013,09,07,0,0,0,0.00,0.00,70
2013,09,08,0,0,0,T,0.00,74
2013,09,09,0,0,0,0.00,0.00,65
2013,09,10,0,0,0,0.01,0.00,78
2013,09,11,0,0,0,0.00,0.00,87
2013,09,12,1,1,0,1.60,0.00,79
2013,09,13,0,1,0,0.06,0.00,68
2013,09,14,0,0,0,0.00,0.00,61
2013,09,15,0,0,0,0.00,0.00,62
2013,09,16,0,1,0,0.03,0.00,65
2013,09,17,0,0,0,0.00,0.00,58
2013,09,18,0,0,0,0.00,0.00,62
2013,09,19,0,0,0,0.00,0.00,67
2013,09,20,0,0,0,0.00,0.00,70
2013,09,21,0,1,0,0.72,0.00,69
2013,09,22,1,1,0,0.45,0.00,62
2013,09,23,0,0,0,0.00,0.00,58
2013,09,24,0,0,0,0.00,0.00,60
2013,09,25,0,0,0,0.00,0.00,63
2013,09,26,0,0,0,0.00,0.00,65
2013,09,27,0,0,0,0.00,0.00,63
2013,09,28,0,0,0,0.00,0.00,65
2013,09,29,0,0,0,0.00,0.00,65
2013,09,30,0,0,0,0.00,0.00,66
2013,10,01,0,0,0,0.00,0.00,71
2013,10,02,0,0,0,0.00,0.00,74
2013,10,03,0,0,0,0.00,0.00,71
2013,10,04,0,1,0,T,0.00,76
2013,10,05,0,0,0,0.00,0.00,70
2013,10,06,0,0,0,T,0.00,68
2013,10,07,0,1,0,0.25,0.00,68
2013,10,08,0,0,0,0.00,0.00,61
2013,10,09,0,0,0,0.00,0.00,58
2013,10,10,0,1,0,T,0.00,60
2013,10,11,0,1,0,0.02,0.00,64
2013,10,12,0,0,0,0.00,0.00,66
2013,10,13,0,0,0,0.00,0.00,61
2013,10,14,0,0,0,0.00,0.00,59
2013,10,15,0,0,0,0.00,0.00,63
2013,10,16,0,0,0,0.00,0.00,62
2013,10,17,0,1,0,0.02,0.00,67
2013,10,18,0,0,0,0.00,0.00,62
2013,10,19,0,0,0,0.01,0.00,58
2013,10,20,0,0,0,0.00,0.00,57
2013,10,21,0,0,0,0.00,0.00,58
2013,10,22,0,0,0,0.00,0.00,59
2013,10,23,0,0,0,0.00,0.00,50
2013,10,24,0,0,0,0.00,0.00,48
2013,10,25,0,0,0,0.00,0.00,47
2013,10,26,0,0,0,0.00,0.00,48
2013,10,27,0,0,0,0.00,0.00,52
2013,10,28,0,0,0,0.00,0.00,52
2013,10,29,0,0,0,0.00,0.00,50
2013,10,30,0,0,0,0.00,0.00,54
2013,10,31,0,1,0,0.06,0.00,60
2013,11,01,0,1,0,0.13,0.00,65
2013,11,02,0,0,0,0.00,0.00,62
2013,11,03,0,0,0,0.00,0.00,46
2013,11,04,0,0,0,0.00,0.00,41
2013,11,05,0,0,0,0.00,0.00,48
2013,11,06,0,0,0,0.00,0.00,55
2013,11,07,0,1,0,0.13,0.00,54
2013,11,08,0,0,0,0.00,0.00,45
2013,11,09,0,0,0,0.00,0.00,44
2013,11,10,0,0,0,T,0.00,53
2013,11,11,0,0,0,0.00,0.00,48
2013,11,12,0,1,1,0.03,T,42
2013,11,13,0,0,0,0.00,0.00,34
2013,11,14,0,0,0,0.00,0.00,43
2013,11,15,0,0,0,0.00,0.00,51
2013,11,16,0,1,0,0.05,0.00,53
2013,11,17,0,1,0,0.03,0.00,56
2013,11,18,0,1,0,0.22,0.00,58
2013,11,19,0,0,0,0.00,0.00,44
2013,11,20,0,0,0,0.00,0.00,38
2013,11,21,0,0,0,0.00,0.00,44
2013,11,22,0,1,0,0.07,0.00,54
2013,11,23,1,0,1,T,T,43
2013,11,24,0,0,0,0.00,0.00,27
2013,11,25,0,0,0,0.00,0.00,29
2013,11,26,0,1,0,0.51,T,40
2013,11,27,0,1,0,1.98,0.00,49
2013,11,28,0,0,0,0.00,0.00,33
2013,11,29,0,0,0,0.00,0.00,34
2013,11,30,0,0,0,0.00,0.00,32
2013,12,01,0,0,0,0.00,0.00,43
2013,12,02,0,0,0,0.00,0.00,45
2013,12,03,0,0,0,0.00,0.00,46
2013,12,04,0,0,0,0.00,0.00,47
2013,12,05,1,1,0,0.01,0.00,54
2013,12,06,0,1,0,0.73,0.00,50
